transcript	length	SRR2040575_brain	SRR2040576_brain	SRR2040577_heart	SRR2040578_heart	SRR2040579_liver	SRR2040580_liver	SRR2040581_testes	SRR2040582_testes	SRR2040583_testes
NM_001322062.1_ZSCAN5A	2083	0	0	1	0	0	0	2	4	2
NM_001322061.1_ZSCAN5A	2297	0	1	0	1	0	4	6	4	0
NM_001322055.1_PDE1C	5034	4	18	23	4	2	0	0	5	4
NM_001322049.1_FASTKD1	4076	6	6	12	4	2	4	2	8	2
NM_001322048.1_FASTKD1	4202	8	2	16	0	2	6	2	8	0
NM_001322047.1_LOC102724843	2353	12	9	6	4	10	36	7	12	0
NM_001322046.1_FASTKD1	4947	8	2	20	0	0	4	6	4	1
NM_001322044.1_LOC102724219	2353	22	8	2	8	2	14	6	16	0
NM_001322041.1_NUTF2	2520	16	14	0	10	2	4	6	20	0
NM_001322040.1_NUTF2	2426	14	8	4	20	4	0	10	26	8
NM_001322039.1_NUTF2	2500	16	22	4	16	6	10	6	16	6
NM_001322038.1_NUTF2	2411	26	14	8	14	4	12	14	10	2
NM_001322036.1_LOC102724951	2353	16	4	6	0	10	24	6	12	0
NM_001322032.1_GPATCH2L	3051	0	0	2	0	0	4	5	10	0
NM_001322031.1_GPATCH2L	5315	0	2	2	2	2	2	2	4	36
NM_001322030.1_GPATCH2L	3217	2	7	8	16	0	14	14	22	0
NM_001322029.1_GPATCH2L	1829	0	4	2	0	2	0	4	5	0
NM_001322028.1_GPATCH2L	1825	4	6	3	4	4	0	6	11	60
NM_001322027.1_GPATCH2L	4495	4	1	3	5	7	8	12	15	31
NM_001322026.1_GPATCH2L	2588	0	0	2	0	0	1	4	2	0
NM_001322023.1_ACP5	1616	0	0	0	0	12	2	0	4	0
NM_001322020.1_NDUFA10	4806	58	28	78	20	26	18	30	37	8
NM_001322019.1_NDUFA10	2130	18	34	52	18	24	19	24	26	0
NM_001322015.1_PMS2	5326	10	13	6	5	8	15	26	41	29
NM_001322014.1_PMS2	5189	13	10	4	1	4	4	18	8	0
NM_001322013.1_PMS2	4983	6	6	0	0	2	4	13	17	0
NM_001322012.1_PMS2	5102	12	12	4	4	0	2	4	1	2
NM_001322011.1_PMS2	5107	12	12	2	0	4	8	10	12	0
NM_001322010.1_PMS2	4860	6	8	2	0	4	0	4	4	0
NM_001322009.1_PMS2	5296	10	2	0	2	4	4	18	6	0
NM_001322008.1_PMS2	4913	10	10	6	4	2	10	10	9	0
NM_001322007.1_PMS2	5053	16	16	6	0	0	4	10	10	0
NM_001322006.1_PMS2	5000	16	10	4	4	8	6	10	9	0
NM_001322005.1_PMS2	5268	4	10	2	0	4	2	2	8	0
NM_001322004.1_PMS2	5016	4	10	2	0	4	8	6	6	0
NM_001322003.1_PMS2	5151	4	10	2	2	0	8	16	4	0
NM_001322.2_CST2	694	143	92	75	43	14	25	59	72	0
NM_001321997.1_MRPS5	3237	6	4	10	4	8	12	10	24	0
NM_001321996.1_MRPS5	3416	12	12	10	10	8	28	6	10	0
NM_001321995.1_MRPS5	3316	14	11	16	17	12	30	19	28	0
NM_001321994.1_ZNF570	5573	4	8	4	0	0	4	6	4	0
NM_001321993.1_ZNF570	5657	6	10	0	0	0	8	8	4	0
NM_001321992.1_ZNF570	5514	0	4	0	4	2	2	8	8	4
NM_001321991.1_ZNF570	5183	6	0	0	0	2	0	4	2	0
NM_001321990.1_LOC105376731	720	0	0	0	0	0	0	2	2	0
NM_001321989.1_PRKAR2A	1385	4	2	0	0	0	0	22	2	0
NM_001321988.1_ENTPD5	6072	4	5	4	1	42	21	8	9	0
NM_001321987.1_ENTPD5	5540	4	6	5	4	52	13	4	8	0
NM_001321986.1_ENTPD5	5393	8	4	2	2	60	12	12	4	0
NM_001321985.1_ENTPD5	5413	11	0	3	0	52	11	10	9	0
NM_001321984.1_ENTPD5	2091	2	3	2	2	10	0	5	0	0
NM_001321983.1_PRKAR2A	6425	46	20	26	12	28	33	64	67	21
NM_001321982.1_PRKAR2A	2847	12	6	6	14	4	8	48	19	2
NM_001321981.1_ZNF530	4859	9	3	6	6	3	12	6	15	33
NM_001321980.1_GLRX3	1385	10	12	6	10	8	8	42	42	0
NM_001321979.1_PDSS1	1944	4	0	0	0	0	0	10	8	12
NM_001321978.1_PDSS1	1685	2	0	2	0	0	0	2	1	0
NM_001321976.1_MRPS11	1967	5	3	0	1	0	3	3	7	6
NM_001321975.1_ADGRF3	4067	0	0	0	0	0	0	2	0	0
NM_001321974.1_MRPS11	730	0	0	0	0	0	0	0	0	0
NM_001321973.1_MRPS11	846	0	0	0	0	0	0	2	2	0
NM_001321972.1_MRPS11	4759	8	16	2	0	8	17	2	11	8
NM_001321971.1_ADGRF3	4526	1	1	0	0	2	2	0	1	0
NM_001321970.1_MRPS11	3635	16	20	6	10	6	13	8	11	2
NM_001321969.1_ATAD1	4429	40	24	20	8	4	14	66	42	2
NM_001321968.1_ATAD1	4249	26	24	18	10	10	20	60	30	6
NM_001321967.1_ATAD1	4339	38	30	26	14	2	14	111	60	6
NM_001321966.1_LRRC6	3488	2	6	0	0	0	0	8	8	0
NM_001321965.1_LRRC6	4493	6	14	2	4	2	5	7	17	3
NM_001321964.1_LRRC6	4180	2	12	2	0	2	8	16	2	14
NM_001321963.1_LRRC6	3855	0	0	0	0	2	0	12	4	0
NM_001321962.1_LRRC6	3184	2	8	0	0	0	2	9	6	0
NM_001321961.1_LRRC6	3370	0	2	0	0	0	2	15	10	0
NM_001321960.1_ASAH2B	3426	4	2	0	0	0	4	3	7	4
NM_001321959.1_ASAH2B	3357	6	4	2	0	0	8	0	8	4
NM_001321958.1_ASAH2B	3338	4	10	0	4	6	6	4	6	2
NM_001321957.1_ASAH2B	3252	14	2	2	0	2	4	2	4	8
NM_001321954.1_ZNF749	4076	2	0	7	2	4	10	0	18	33
NM_001321953.1_ZNF749	4150	0	5	2	4	0	6	4	2	14
NM_001321952.1_ZNF749	4277	2	3	0	2	2	8	4	12	20
NM_001321950.1_GPBAR1	1889	2	0	0	0	0	2	0	0	0
NM_001321949.1_FGF14	3654	8	4	1	0	0	0	1	3	14
NM_001321948.1_FGF14	2957	2	4	0	0	0	0	0	0	0
NM_001321947.1_FGF14	2885	2	0	0	0	0	0	0	0	0
NM_001321946.1_FGF14	3067	2	2	0	0	0	0	0	1	0
NM_001321945.1_FGF14	2961	4	0	2	0	0	0	0	2	0
NM_001321944.1_FGF14	3418	2	0	0	0	0	0	0	0	2
NM_001321943.1_FGF14	3202	4	2	0	0	0	0	0	0	0
NM_001321942.1_FGF14	3165	2	2	0	0	0	0	3	3	0
NM_001321941.1_FGF14	3158	0	0	0	0	0	0	0	1	0
NM_001321940.1_FGF14	3326	4	0	0	0	0	0	0	0	0
NM_001321939.1_FGF14	2978	6	0	0	0	0	0	0	0	0
NM_001321938.1_FGF14	2971	4	4	0	0	0	0	0	0	0
NM_001321937.1_FGF14	978	0	0	0	0	0	0	0	0	0
NM_001321936.1_FGF14	2923	0	0	0	0	0	0	0	0	4
NM_001321935.1_FGF14	2596	2	0	0	0	0	0	0	2	0
NM_001321934.1_FGF14	2743	6	4	0	0	0	0	0	0	0
NM_001321933.1_FGF14	2980	0	0	0	0	0	0	2	0	2
NM_001321932.1_FGF14	3070	6	2	0	0	0	0	0	0	0
NM_001321931.1_FGF14	2984	2	0	0	0	0	0	0	0	6
NM_001321929.1_CKMT1A	1731	26	20	6	0	0	0	0	0	0
NM_001321928.1_CKMT1A	1733	32	26	2	0	0	0	0	0	0
NM_001321927.1_CKMT1A	1972	26	42	2	0	2	0	2	0	0
NM_001321926.1_CKMT1A	1747	24	54	0	0	0	0	0	0	0
NM_001321924.1_TRIP4	2135	6	0	4	6	8	17	16	18	2
NM_001321923.1_FAM219B	2780	16	19	30	6	4	12	10	14	0
NM_001321922.1_FAM219B	3320	36	40	44	16	2	12	6	28	0
NM_001321921.1_FAM219B	857	0	4	0	2	0	0	0	2	0
NM_001321920.1_FAM219B	2783	19	24	32	6	4	9	2	19	0
NM_001321919.1_ZFP82	1824	0	0	0	2	0	0	0	2	0
NM_001321918.1_ZFP82	1844	0	0	0	0	0	2	3	2	0
NM_001321917.1_ZFP82	5974	14	4	9	9	2	15	20	37	109
NM_001321904.1_RTN4	4566	160	120	16	16	10	4	30	26	0
NM_001321903.1_HACD4	4353	5	9	4	6	4	7	7	11	13
NM_001321902.1_HDAC9	4303	0	2	2	0	0	0	0	0	0
NM_001321901.1_HDAC9	4297	0	0	0	0	0	0	0	0	0
NM_001321900.1_HDAC9	4463	0	2	0	0	0	0	0	1	0
NM_001321899.1_HDAC9	4369	0	2	0	0	0	0	0	0	0
NM_001321898.1_HDAC9	4186	0	2	0	4	0	0	0	0	0
NM_001321897.1_HDAC9	9698	6	10	2	2	2	2	0	8	10
NM_001321896.1_HDAC9	4641	0	1	0	0	0	0	0	2	2
NM_001321895.1_HDAC9	4171	4	4	0	0	0	0	2	0	0
NM_001321894.1_HDAC9	4237	0	0	0	2	0	0	0	0	0
NM_001321893.1_HDAC9	4228	2	0	0	0	0	0	0	2	0
NM_001321892.1_LOC613037	3904	30	99	78	108	21	188	78	250	978
NM_001321891.1_HDAC9	4331	0	2	0	0	0	0	2	0	0
NM_001321890.1_HDAC9	4457	0	2	0	0	0	0	2	0	0
NM_001321889.1_HDAC9	4393	0	0	0	0	0	0	2	2	0
NM_001321888.1_HDAC9	4156	2	0	0	0	0	0	0	0	0
NM_001321887.1_HDAC9	4356	0	0	0	0	0	0	0	0	0
NM_001321886.1_HDAC9	4522	0	4	0	0	0	0	0	2	0
NM_001321885.1_HDAC9	4355	4	2	0	0	0	0	0	0	0
NM_001321884.1_HDAC9	4466	4	6	2	0	0	2	0	0	0
NM_001321883.1_HACD4	4137	2	4	2	4	2	4	2	14	0
NM_001321882.1_NAA35	6031	39	24	10	6	0	18	35	46	10
NM_001321881.1_NAA35	2649	18	12	4	6	4	9	28	20	0
NM_001321879.1_HDAC9	4334	0	0	0	0	0	0	0	0	0
NM_001321878.1_HDAC9	4655	0	2	0	0	0	0	0	2	0
NM_001321877.1_HDAC9	9801	2	0	0	6	0	0	2	6	2
NM_001321876.1_HDAC9	4573	0	0	0	0	0	0	0	0	0
NM_001321875.1_HDAC9	4478	2	2	0	2	0	0	0	6	0
NM_001321874.1_HDAC9	4472	2	0	2	0	0	0	0	0	0
NM_001321873.1_HDAC9	4413	2	2	0	2	0	0	3	4	0
NM_001321872.1_HDAC9	4419	0	0	0	0	0	0	0	2	0
NM_001321871.1_HDAC9	4425	2	0	0	0	0	0	0	4	0
NM_001321870.1_HDAC9	4542	2	2	0	4	0	0	4	0	0
NM_001321869.1_HDAC9	4551	0	0	0	2	0	0	2	2	0
NM_001321868.1_HDAC9	9871	2	9	1	4	0	7	2	5	0
NM_001321867.1_ZNF600	3366	0	0	2	0	0	2	6	6	0
NM_001321866.1_ZNF600	3989	0	0	3	0	0	14	1	7	0
NM_001321865.1_IZUMO1	1183	0	0	2	0	0	0	4	4	2
NM_001321864.1_IZUMO1	1020	0	0	0	0	0	0	10	0	6
NM_001321863.1_RTN4	4088	152	118	6	14	16	6	34	30	0
NM_001321862.1_RTN4	4138	150	120	16	8	8	9	22	22	0
NM_001321861.1_RTN4	4151	132	106	8	14	8	0	20	16	0
NM_001321860.1_RTN4	4188	142	120	10	14	6	6	42	34	0
NM_001321859.1_RTN4	4118	157	114	8	13	18	4	26	21	0
NM_001321858.1_USP7	5219	88	92	56	64	22	57	240	162	2
NM_001321857.1_JAK1	5115	18	32	10	26	2	16	22	36	4
NM_001321856.1_JAK1	4937	16	30	20	16	8	20	38	48	0
NM_001321855.1_JAK1	5202	10	22	8	16	14	32	30	40	2
NM_001321854.1_JAK1	5199	18	22	12	20	10	24	28	38	0
NM_001321853.1_JAK1	5283	14	26	16	22	10	18	24	36	4
NM_001321852.1_JAK1	5024	16	20	18	24	8	42	32	50	2
NM_001321851.1_TRIP11	9993	21	30	27	18	11	35	56	100	28
NM_001321848.1_COMMD4	944	0	4	2	0	6	2	8	9	14
NM_001321847.1_COMMD4	900	4	2	2	2	6	4	4	2	6
NM_001321846.1_COMMD4	723	0	0	2	0	2	2	2	4	8
NM_001321845.1_COMMD4	828	2	4	2	4	6	6	10	0	4
NM_001321844.1_COMMD4	960	0	0	4	3	2	6	10	6	14
NM_001321839.1_CA8	5654	8	14	2	2	0	0	4	26	0
NM_001321838.1_CA8	3972	2	3	2	2	0	0	5	16	12
NM_001321837.1_CA8	3922	2	4	5	2	0	1	10	22	12
NM_001321836.1_CPSF3	2720	6	2	6	0	0	4	47	30	0
NM_001321835.1_CPSF3	2273	10	8	6	0	4	6	24	31	0
NM_001321834.1_CPSF3	3538	4	0	4	2	6	0	79	19	0
NM_001321833.1_CPSF3	2630	8	5	3	2	2	7	50	17	10
NM_001321831.1_NFKBID	1989	0	4	6	5	0	0	0	0	6
NM_001321829.1_CCDC186	7386	15	27	8	9	4	22	42	69	35
NM_001321825.1_FIGN	7040	4	2	0	2	2	8	0	6	0
NM_001321822.1_CBLB	6830	0	2	4	0	2	2	2	2	0
NM_001321821.1_RAD51B	2094	0	0	2	0	2	0	0	2	0
NM_001321820.1_CBLB	6780	0	0	8	6	0	6	2	2	0
NM_001321819.1_RAD51B	2267	0	0	0	0	0	0	0	0	0
NM_001321818.1_RAD51B	1295	0	0	0	0	0	0	0	0	0
NM_001321817.1_RAD51B	1571	0	0	0	0	0	0	0	2	0
NM_001321816.1_CBLB	6344	0	0	2	4	0	4	0	8	0
NM_001321815.1_RAD51B	1792	0	0	0	0	0	0	0	0	0
NM_001321814.1_RAD51B	3288	0	0	0	0	0	0	0	0	0
NM_001321813.1_CBLB	6514	0	0	2	0	2	0	0	8	0
NM_001321812.1_RAD51B	2938	0	0	0	0	2	0	0	0	0
NM_001321811.1_CBLB	6476	6	2	2	4	0	2	2	2	0
NM_001321810.1_RAD51B	2138	2	2	0	0	0	0	2	0	0
NM_001321809.1_RAD51B	2135	0	0	0	0	0	0	0	2	0
NM_001321808.1_CBLB	6616	2	2	2	4	0	6	0	2	0
NM_001321807.1_CBLB	6924	0	0	0	4	0	2	0	6	0
NM_001321806.1_CBLB	6447	0	0	4	4	2	0	2	0	0
NM_001321799.1_CBLB	6501	0	0	4	0	0	0	2	6	0
NM_001321798.1_CBLB	6501	4	0	0	4	0	2	0	2	0
NM_001321797.1_CBLB	6325	0	0	8	8	2	0	6	8	0
NM_001321796.1_CBLB	6457	0	0	4	8	0	0	0	2	0
NM_001321795.1_CBLB	6633	0	2	6	0	0	2	2	4	0
NM_001321794.1_CBLB	6457	0	0	2	4	0	2	6	4	0
NM_001321793.1_CBLB	6648	0	0	2	2	0	2	0	6	0
NM_001321791.1_CBLB	6472	0	2	2	2	0	2	2	4	0
NM_001321790.1_CBLB	6437	0	0	4	2	0	4	3	8	0
NM_001321789.1_CBLB	6476	2	0	2	6	0	2	0	6	0
NM_001321788.1_CBLB	6604	0	0	2	0	0	2	2	2	0
NM_001321787.1_SLC26A5	2422	0	0	0	0	0	0	0	1	4
NM_001321786.1_CBLB	6685	0	0	0	3	4	4	3	6	0
NM_001321782.1_COMMD1	647	4	4	14	6	6	4	10	6	0
NM_001321781.1_COMMD1	654	2	6	6	7	6	6	10	10	0
NM_001321778.1_SNTG1	1893	4	0	2	2	0	0	0	0	0
NM_001321777.1_SNTG1	2087	4	0	0	0	0	0	0	0	0
NM_001321776.1_SNTG1	2162	6	2	0	0	0	0	0	2	0
NM_001321775.1_SNTG1	1935	2	0	0	0	0	0	0	0	0
NM_001321773.1_SNTG1	5967	0	8	2	0	0	0	0	0	6
NM_001321772.1_RSRP1	2506	29	23	16	32	10	58	30	60	12
NM_001321770.1_SULT1C4	2649	6	10	4	4	2	1	3	7	8
NM_001321768.1_ZNF471	6162	29	66	21	34	14	59	65	153	1141
NM_001321766.1_AMZ1	1675	0	2	0	0	0	0	0	0	0
NM_001321761.1_C15orf41	2929	0	0	32	28	0	4	2	0	0
NM_001321760.1_C15orf41	2805	0	0	20	26	0	0	2	2	0
NM_001321759.1_C15orf41	2911	0	0	18	10	0	0	2	2	0
NM_001321758.1_C15orf41	2800	2	2	16	30	2	0	2	0	0
NM_001321757.1_C15orf41	2531	2	0	10	24	2	2	0	2	0
NM_001321756.1_C15orf41	2865	2	0	12	18	0	0	2	0	0
NM_001321749.1_RNF24	7610	10	12	2	4	0	8	4	10	4
NM_001321748.1_FAM168B	5207	84	66	22	5	2	18	10	32	4
NM_001321747.1_FAM168B	5258	90	60	13	10	6	26	16	34	2
NM_001321746.1_FAM168B	5331	72	62	12	10	4	30	8	36	2
NM_001321745.1_FAM168B	5338	58	80	12	16	6	16	20	28	6
NM_001321744.1_FAM168B	5590	52	48	16	4	6	18	12	30	6
NM_001321743.1_FAM168B	5884	77	74	21	3	10	40	21	55	65
NM_001321742.1_TTC26	1227	0	0	0	0	2	2	2	2	0
NM_001321741.1_TTC26	4032	0	2	0	6	0	0	16	10	0
NM_001321740.1_TTC26	4320	0	0	0	2	0	2	12	4	0
NM_001321739.1_M1AP	2567	4	0	0	0	0	0	4	8	0
NM_001321734.1_EXOC6B	5782	32	29	16	22	0	6	6	4	0
NM_001321733.1_EXOC6B	5801	26	16	12	12	2	6	8	2	0
NM_001321731.1_EXOC6B	5989	22	34	12	30	2	6	2	10	0
NM_001321730.1_EXOC6B	5813	14	20	2	22	0	2	8	8	0
NM_001321729.1_EXOC6B	5948	32	36	6	22	4	10	12	11	0
NM_001321728.1_HTRA2	2454	14	8	8	4	4	8	8	6	2
NM_001321727.1_HTRA2	2484	8	7	4	0	6	10	5	10	4
NM_001321726.1_LOC101928120	1155	0	0	0	0	6	4	1	1	0
NM_001321724.1_LOC645177	2213	0	0	0	0	0	0	0	0	0
NM_001321722.1_SLC28A1	2238	0	0	0	0	6	8	0	0	0
NM_001321721.1_SLC28A1	2038	3	0	0	0	10	3	3	2	0
NM_001321713.1_NCOA2	8307	10	8	4	0	6	26	12	46	0
NM_001321712.1_NCOA2	8204	28	4	4	2	6	24	10	56	0
NM_001321711.1_NCOA2	8287	6	12	6	10	4	8	12	40	0
NM_001321710.1_DGKI	6643	16	14	0	0	0	0	2	0	14
NM_001321709.1_DGKI	6524	6	6	0	0	0	0	2	2	0
NM_001321708.1_DGKI	6746	12	8	4	0	2	0	0	0	0
NM_001321707.1_NCOA2	8412	10	14	2	6	2	14	24	44	0
NM_001321703.1_NCOA2	8566	12	18	8	7	5	26	20	44	0
NM_001321699.1_SUGP2	6219	63	69	31	37	6	48	125	163	78
NM_001321698.1_SUGP2	3628	56	54	10	12	4	14	124	120	8
NM_001321697.1_SUGP2	3836	42	36	10	4	2	6	122	68	16
NM_001321694.1_BZW1	2960	20	24	16	35	14	30	66	58	2
NM_001321693.1_BZW1	2852	16	28	10	28	14	42	62	48	2
NM_001321691.1_BZW1	2927	14	18	16	30	6	54	48	68	4
NM_001321690.1_BZW1	3099	30	24	14	36	12	46	68	52	0
NM_001321688.1_BZW1	2985	22	14	6	24	14	56	52	43	0
NM_001321685.1_ZNF225	4654	10	3	4	2	2	8	15	10	14
NM_001321681.1_KIAA1217	5037	10	16	4	2	10	8	4	28	0
NM_001321680.1_LRRC28	5929	4	10	2	2	8	10	4	10	52
NM_001321679.1_LRRC28	5933	0	6	2	2	8	12	8	12	44
NM_001321678.1_LRRC28	5662	2	2	2	6	8	4	10	2	54
NM_001321677.1_LRRC28	5767	2	2	2	0	6	4	16	10	48
NM_001321676.1_LRRC28	5962	8	4	2	2	0	2	10	8	62
NM_001321675.1_LRRC28	5970	0	7	4	0	6	8	10	2	42
NM_001321648.1_NUDT5	3545	8	6	10	6	24	22	2	9	0
NM_001321647.1_NUDT5	3441	17	8	4	7	12	8	19	11	0
NM_001321646.1_TRAPPC9	6897	26	18	8	2	4	2	6	12	0
NM_001321645.1_ZNF224	4035	7	32	6	6	4	33	18	19	0
NM_001321643.1_ROCK2	7854	81	107	32	38	12	29	32	60	20
NM_001321636.1_NIPAL2	4482	18	40	6	6	0	4	6	20	39
NM_001321635.1_NIPAL2	4577	10	20	16	10	0	12	11	21	42
NM_001321630.1_FAM83A	1566	0	0	0	0	2	0	0	2	10
NM_001321629.1_FAM126B	9391	4	8	0	2	0	2	4	8	6
NM_001321628.1_FAM126B	9672	10	8	2	2	0	6	4	14	8
NM_001321627.1_FAM126B	9559	6	8	2	0	2	4	0	6	6
NM_001321626.1_FAM126B	9636	4	6	4	2	0	14	2	10	2
NM_001321625.1_FAM126B	9616	8	12	2	0	0	2	0	8	12
NM_001321624.1_FAM126B	9405	8	6	2	0	2	8	0	4	18
NM_001321623.1_FAM126B	9503	4	4	2	0	2	2	4	4	6
NM_001321622.1_FAM126B	9566	8	6	2	2	0	10	2	10	2
NM_001321621.1_FAM126B	9350	14	2	2	0	0	2	4	8	6
NM_001321619.1_FAM126B	9448	14	10	2	0	0	6	4	8	8
NM_001321618.1_FAM126B	9237	9	22	2	6	2	17	13	40	27
NM_001321617.1_CALY	1156	50	58	0	0	0	0	2	2	0
NM_001321612.1_LDB1	3194	36	50	38	19	10	31	26	59	28
NM_001321605.1_SCN1B	1703	160	94	8	0	2	0	0	2	0
NM_001321601.1_LOC390877	516	0	0	0	0	0	0	0	2	0
NM_001321596.1_DET1	2330	1	4	3	0	0	0	2	4	9
NM_001321594.1_DET1	2233	0	0	2	0	2	4	0	4	0
NM_001321592.1_CAMK2D	1637	0	0	0	2	0	0	0	0	0
NM_001321591.1_CAMK2D	5895	4	6	10	0	0	2	2	2	2
NM_001321590.1_CAMK2D	5818	2	4	6	8	2	0	2	0	2
NM_001321589.1_CAMK2D	5862	2	10	4	12	0	0	0	4	0
NM_001321588.1_CAMK2D	5911	6	6	6	4	0	0	5	7	0
NM_001321587.1_CAMK2D	5851	2	2	2	14	2	2	0	2	0
NM_001321586.1_CAMK2D	5875	0	4	2	8	2	4	1	10	0
NM_001321585.1_CAMK2D	5912	4	4	8	8	0	0	2	2	0
NM_001321584.1_CAMK2D	5815	6	4	6	12	0	0	6	0	4
NM_001321583.1_CAMK2D	5862	6	0	6	2	4	0	0	6	0
NM_001321582.1_CAMK2D	5809	8	8	4	10	0	2	4	2	0
NM_001321581.1_CAMK2D	5919	4	6	4	4	0	0	0	2	0
NM_001321580.1_CAMK2D	5932	4	8	6	14	2	0	0	2	0
NM_001321579.1_CAMK2D	5922	8	6	0	4	2	0	4	2	0
NM_001321578.1_CAMK2D	5745	6	0	4	8	2	4	0	0	0
NM_001321577.1_CAMK2D	5815	8	6	0	8	2	0	2	4	0
NM_001321576.1_CAMK2D	5773	4	4	8	4	0	2	0	6	0
NM_001321575.1_CAMK2D	5818	10	6	8	6	0	2	0	0	4
NM_001321574.1_CAMK2D	5869	4	2	6	12	2	4	0	9	2
NM_001321573.1_CAMK2D	5947	6	0	6	10	2	0	4	4	0
NM_001321572.1_CAMK2D	5878	2	4	6	2	0	0	2	0	0
NM_001321571.1_CAMK2D	5974	4	6	10	6	0	2	0	4	0
NM_001321570.1_CAMK2D	5878	4	2	2	6	0	0	0	10	0
NM_001321569.1_CAMK2D	5974	2	10	2	2	0	0	2	0	0
NM_001321568.1_CAMK2D	5851	2	2	6	12	4	0	4	2	0
NM_001321567.1_CAMK2D	5922	8	10	0	8	0	0	0	6	0
NM_001321566.1_CAMK2D	5914	4	2	2	4	0	0	0	2	0
NM_001321553.1_LOC100128108	605	3	2	4	2	0	0	10	21	0
NM_001321552.1_LOC100128108	547	0	2	0	0	0	0	10	0	0
NM_001321551.1_LOC100128108	522	0	0	1	1	0	1	0	3	0
NM_001321550.1_KCTD18	2949	6	2	2	2	2	2	2	6	0
NM_001321548.1_KCTD18	2566	4	2	2	2	6	2	14	6	0
NM_001321547.1_KCTD18	2596	6	2	4	0	2	8	5	4	0
NM_001321546.1_PLAA	4808	16	26	20	23	2	32	40	56	6
NM_001321544.1_SLC25A42	3243	38	20	10	2	28	18	10	8	0
NM_001321542.1_DEGS1	2174	38	30	20	16	14	26	32	20	8
NM_001321541.1_DEGS1	2129	41	29	24	12	5	19	19	34	11
NM_001321539.1_FAM179A	2975	0	4	6	1	0	0	0	2	0
NM_001321538.1_FAM179A	3399	2	7	2	1	0	0	2	0	0
NM_001321534.1_USPL1	4076	14	4	2	10	2	12	49	14	0
NM_001321533.1_USPL1	4347	8	10	4	14	6	16	34	14	0
NM_001321532.1_USPL1	4987	4	22	4	12	2	14	46	39	2
NM_001321531.1_GPAT2	2824	4	6	2	0	0	0	8	4	0
NM_001321530.1_GPAT2	2803	6	2	6	0	2	0	6	4	0
NM_001321529.1_GPAT2	2895	0	0	0	2	0	0	0	4	0
NM_001321528.1_GPAT2	3062	0	6	0	0	0	0	4	6	0
NM_001321527.1_GPAT2	3072	4	2	0	4	0	2	14	4	0
NM_001321526.1_GPAT2	3108	4	2	0	0	2	2	0	2	0
NM_001321525.1_GPAT2	3018	2	3	0	4	0	2	7	16	9
NM_001321524.1_ZNF845	5693	2	4	2	0	2	6	2	10	6
NM_001321523.1_ZNF845	5685	4	6	0	4	0	6	4	12	8
NM_001321522.1_ZNF845	5746	3	4	2	0	6	1	10	9	7
NM_001321519.1_DUSP19	5261	4	0	2	2	4	0	16	11	20
NM_001321518.1_COX11	1189	10	4	0	4	2	5	2	6	2
NM_001321515.1_SEPT10	3324	8	4	14	8	10	20	60	75	8
NM_001321514.1_SEPT10	3084	4	8	14	12	6	30	85	43	0
NM_001321513.1_SEPT10	5118	10	2	13	29	18	66	90	102	23
NM_001321485.1_RPS19	868	21	18	44	68	84	163	57	97	2
NM_001321484.1_RPS19	661	40	30	56	54	96	144	52	59	2
NM_001321483.1_RPS19	533	22	44	62	56	78	110	48	60	0
NM_001321481.1_THUMPD2	2417	0	0	0	3	0	2	2	0	0
NM_001321480.1_THUMPD2	2505	0	2	0	0	0	0	2	9	0
NM_001321479.1_THUMPD2	1814	2	2	0	2	0	0	0	0	0
NM_001321478.1_THUMPD2	2515	0	0	2	0	0	2	2	2	0
NM_001321477.1_THUMPD2	2407	2	2	4	2	0	0	0	0	0
NM_001321475.1_THUMPD2	2312	2	0	0	0	0	0	2	0	0
NM_001321474.1_THUMPD2	2109	4	2	0	0	0	0	0	0	0
NM_001321473.1_THRAP3	4448	34	42	32	28	18	44	48	118	4
NM_001321471.1_THRAP3	4583	36	53	34	31	32	54	64	79	0
NM_001321470.1_THUMPD2	2166	0	2	0	0	0	2	0	0	0
NM_001321469.1_THUMPD2	2214	0	2	0	1	0	0	0	2	0
NM_001321468.1_THUMPD2	2322	0	0	2	3	0	0	0	0	0
NM_001321463.1_NCLN	3744	22	26	20	22	22	40	12	26	0
NM_001321460.1_REV1	4986	6	2	2	12	6	6	10	18	0
NM_001321459.1_REV1	4989	2	0	4	10	8	8	10	20	0
NM_001321458.1_REV1	4913	6	6	4	4	4	6	12	16	0
NM_001321455.1_REV1	4943	2	10	8	8	4	10	10	24	0
NM_001321454.1_REV1	4897	12	4	6	16	4	6	14	14	0
NM_001321449.1_IZUMO2	959	0	0	0	0	0	0	14	6	12
NM_001321445.1_TMED2	2164	44	36	64	59	81	342	68	122	0
NM_001321441.1_AHSA1	1295	61	65	38	70	16	15	62	109	0
NM_001321440.1_YIPF2	1447	8	4	6	4	10	10	24	10	10
NM_001321439.1_YIPF2	1564	8	4	8	2	6	6	20	20	2
NM_001321431.1_FBN3	9102	0	0	2	0	0	2	0	9	0
NM_001321425.1_ZNF808	3209	0	6	4	2	4	4	5	11	0
NM_001321424.1_ZNF808	3456	2	4	0	0	0	2	10	13	0
NM_001321423.1_ARHGDIB	1242	4	0	8	6	16	19	0	0	0
NM_001321422.1_ARHGDIB	1376	2	2	10	8	10	10	4	0	0
